Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Saturday,Older_Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,No defect,Divided_Two-way,Unknown,Dry,Darkness,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,9
Saturday,Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,No defect,Unknown,Unknown,Dry,Darkness,Vehicles,2,2,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,9
Monday,Young_Adult,Male,Middle,Employee,Intermediate,Public,Valid_Recent_Exp,No defect,One-way,Unknown,Not dry,Darkness,Vehicles,2,3,Forward,Passenger,3,No_pedestrian,No_distance,Slight Injury,11
Monday,Older_Adult,Male,Elementary,Employee,Beginner,Automobile,Unknown,No defect,Divided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,3,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,11
Friday,Unknown,Male,Middle,Employee,Beginner,Automobile,Advanced_Exp,Unknown,Divided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,3,Forward,Passenger,3,No_pedestrian,No_distance,Slight Injury,13
Friday,Young_Adult,Male,Middle,Employee,Unknown,Automobile,Unknown,Unknown,One-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,13
Thursday,Young_Adult,Male,Unknown,Employee,Advanced,Public,Moderate_Exp,No defect,Undivided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Pedestrian,2,No_pedestrian,Other,Slight Injury,15
Thursday,Young_Adult,Male,Elementary,Employee,Beginner,Lorry,Advanced_Exp,No defect,Undivided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,15
Thursday,Adult,Male,Middle,Employee,Beginner,Pick up,Advanced_Exp,No defect,Other,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,15
Thursday,Adult,Male,Middle,Employee,Beginner,Lorry,Moderate_Exp,No defect,Divided_Two-way,Unknown,Dry,Darkness,Animated_Objects,2,1,Other,Driver or rider,3,No_pedestrian,Other,Slight Injury,10
Thursday,Adult,Male,Elementary,Employee,Expert,Pick up,Valid_Recent_Exp,Unknown,Undivided_Two-way,Unknown,Dry,Darkness,Animated_Objects,2,1,Backward,Driver or rider,3,No_pedestrian,Other,Slight Injury,10
Thursday,Young_Adult,Male,Elementary,Employee,Expert,Other,Moderate_Exp,Unknown,Divided_Two-way,Unknown,Dry,Daylight,Vehicles,2,2,Other,Unknown,0,No_pedestrian,Other,Slight Injury,15
Thursday,Young_Adult,Male,Elementary,Employee,Beginner,Lorry,Unknown,No defect,One-way,Unknown,Dry,Daylight,Vehicles,2,2,Other,Unknown,0,No_pedestrian,Other,Slight Injury,15
Thursday,Young_Adult,Male,Middle,Employee,Intermediate,Unknown,Valid_Recent_Exp,No defect,Undivided_Two-way,Unknown,Dry,Daylight,Vehicles,2,2,Backward,Driver or rider,2,No_pedestrian,Changing_lane,Slight Injury,18
Monday,Young_Adult,Male,Middle,Employee,Intermediate,Unknown,Unknown,No defect,Undivided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Passenger,3,No_pedestrian,Other,Slight Injury,3
Monday,Young_Adult,Male,Advanced,Employee,Expert,Lorry,Unknown,Unknown,Divided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,3
Monday,Young_Adult,Male,Middle,Employee,Intermediate,Other,Moderate_Exp,Unknown,One-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,3
Sunday,Adult,Male,Middle,Employee,Intermediate,Other,Advanced_Exp,Unknown,Undivided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,17
Sunday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,Unknown,Other,Unknown,Not dry,Daylight,Vehicles,2,1,Turn,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Sunday,Young_Adult,Male,Middle,Employee,Advanced,Other,Advanced_Exp,No defect,Divided_Two-way,Unknown,Not dry,Daylight,Vehicles,2,1,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Sunday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,Undivided_Two-way,Unknown,Not dry,Daylight,Vehicles,1,1,Forward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,17
Friday,Adult,Male,Middle,Employee,Beginner,Public,Unknown,No defect,Undivided_Two-way,Unknown,Not dry,Daylight,Vehicles,2,3,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,19
Thursday,Adult,Male,Elementary,Employee,Unknown,Lorry,Valid_Recent_Exp,No defect,One-way,Unknown,Not dry,Daylight,Vehicles,2,3,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,10
Thursday,Older_Adult,Male,Middle,Employee,Beginner,Unknown,Unknown,No defect,Undivided_Two-way,Unknown,Not dry,Daylight,Vehicles,2,3,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,10
Friday,Underage,Male,Middle,Employee,Beginner,Automobile,Unknown,Unknown,Undivided_Two-way,Unknown,Dry,Daylight,Vehicles,2,1,Backward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,9
Friday,Young_Adult,Male,Elementary,Employee,Intermediate,Unknown,Unknown,No defect,Other,Unknown,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,9
Monday,Young_Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,Unknown,Divided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,16
Monday,Young_Adult,Male,Middle,Employee,Advanced,Unknown,Advanced_Exp,Unknown,Divided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,1,Turn,Unknown,0,No_pedestrian,Other,Slight Injury,16
Thursday,Young_Adult,Male,Middle,Employee,Beginner,Lorry,Advanced_Exp,Unknown,Undivided_Two-way,Unknown,Not dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Serious Injury,19
Wednesday,Young_Adult,Male,Middle,Employee,Expert,Automobile,Moderate_Exp,Unknown,One-way,Unknown,Not dry,Daylight,Vehicles,2,1,Forward,Driver or rider,2,No_pedestrian,Changing_lane,Serious Injury,16
Wednesday,Adult,Female,Elementary,Owner,Advanced,Lorry,Moderate_Exp,No defect,One-way,Unknown,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,12
Friday,Adult,Male,Elementary,Employee,Beginner,Lorry,Unknown,No defect,Divided_Two-way,Unknown,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,19
Friday,Young_Adult,Male,Middle,Employee,Advanced,Other,Unknown,No defect,Divided_Two-way,Unknown,Not dry,Daylight,Inanimated_Objects,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,19
Saturday,Young_Adult,Female,Elementary,Owner,Advanced,Automobile,Advanced_Exp,No defect,Divided_Two-way,Unknown,Not dry,Daylight,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,17
Saturday,Older_Adult,Male,Middle,Employee,Intermediate,Automobile,Unknown,Unknown,Divided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,1,Backward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,17
Saturday,Older_Adult,Male,Middle,Employee,Expert,Lorry,Unknown,No defect,One-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,17
Tuesday,Young_Adult,Male,Middle,Employee,Advanced,Lorry,Moderate_Exp,No defect,One-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,18
Tuesday,Young_Adult,Male,Middle,Employee,Beginner,Other,Unknown,No defect,Divided_Two-way,Unknown,Not dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,18
Thursday,Adult,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Darkness,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,15
Sunday,Underage,Female,Middle,Owner,Intermediate,Unknown,Unknown,No defect,Undivided_Two-way,Crossing,Not dry,Darkness,Vehicles,2,1,Backward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,14
Friday,Adult,Male,Middle,Employee,Advanced,Automobile,Valid_Recent_Exp,No defect,Other,Crossing,Not dry,Daylight,Inanimated_Objects,2,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,17
Friday,Adult,Male,Elementary,Employee,Intermediate,Lorry,Advanced_Exp,No defect,Other,No_junction,Not dry,Daylight,Inanimated_Objects,2,2,Other,Driver or rider,3,No_pedestrian,Other,Slight Injury,17
Friday,Adult,Male,Elementary,Employee,Advanced,Other,Unknown,No defect,One-way,No_junction,Not dry,Daylight,Animated_Objects,1,1,Other,Unknown,0,No_pedestrian,Other,Serious Injury,17
Sunday,Older_Adult,Male,Middle,Employee,Beginner,Automobile,Advanced_Exp,Unknown,Unknown,No_junction,Not dry,Darkness,Vehicles,2,3,Forward,Unknown,0,No_pedestrian,No_distance,Serious Injury,17
Sunday,Underage,Male,Middle,Employee,Advanced,Public,Moderate_Exp,Unknown,One-way,Y,Not dry,Darkness,Inanimated_Objects,2,3,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Serious Injury,17
Monday,Young_Adult,Male,Unknown,Unknown,Unknown,Automobile,Unknown,No defect,One-way,Y,Not dry,Darkness,Vehicles,2,3,Forward,Pedestrian,2,Pedestrian,Other,Serious Injury,16
Monday,Adult,Male,Elementary,Employee,Expert,Automobile,Unknown,No defect,Undivided_Two-way,Y,Not dry,Darkness,Vehicles,2,3,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,16
Monday,Young_Adult,Male,Elementary,Employee,Beginner,Lorry,Valid_Recent_Exp,No defect,One-way,Crossing,Not dry,Darkness,Vehicles,1,1,Other,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,16
Thursday,Young_Adult,Male,Middle,Employee,Intermediate,Other,Valid_Recent_Exp,No defect,Other,Y,Dry,Daylight,Vehicles,6,1,Forward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,9
Thursday,Young_Adult,Male,Elementary,Owner,Beginner,Public,Valid_Recent_Exp,No defect,Other,Y,Dry,Daylight,Vehicles,6,1,Stop,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,9
Saturday,Young_Adult,Male,Middle,Owner,Advanced,Other,Unknown,No defect,Undivided_Two-way,Y,Dry,Daylight,Vehicles,6,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,8
Friday,Adult,Male,Middle,Employee,Intermediate,Other,Unknown,Unknown,One-way,No_junction,Dry,Daylight,Inanimated_Objects,6,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,10
Wednesday,Young_Adult,Male,Middle,Employee,Intermediate,Other,Moderate_Exp,Unknown,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,6,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,16
Thursday,Young_Adult,Male,Middle,Employee,Intermediate,Lorry,Unknown,Unknown,Undivided_Two-way,No_junction,Dry,Daylight,Inanimated_Objects,6,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,17
Thursday,Adult,Male,Middle,Employee,Expert,Lorry,Unknown,No defect,One-way,No_junction,Not dry,Daylight,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Thursday,Adult,Male,Middle,Employee,Intermediate,Pick up,Advanced_Exp,No defect,Divided_Two-way,No_junction,Not dry,Daylight,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,17
Thursday,Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,No defect,Other,Y,Not dry,Darkness,Vehicles,2,1,Backward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,17
Monday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Unknown,No defect,Divided_Two-way,Y,Not dry,Darkness,Inanimated_Objects,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,15
Monday,Young_Adult,Male,Middle,Employee,Advanced,Automobile,Advanced_Exp,Unknown,One-way,Y,Not dry,Darkness,Inanimated_Objects,2,2,Other,Driver or rider,3,No_pedestrian,Other,Slight Injury,15
Monday,Young_Adult,Male,Middle,Employee,Beginner,Lorry,Valid_Recent_Exp,No defect,One-way,Y,Not dry,Darkness,Vehicles,2,2,Forward,Passenger,2,No_pedestrian,Driving_carelessly,Slight Injury,15
Monday,Adult,Male,Elementary,Employee,Beginner,Other,Unknown,Unknown,Undivided_Two-way,Y,Not dry,Darkness,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,15
Thursday,Young_Adult,Male,Middle,Employee,Intermediate,Lorry,Unknown,Unknown,Divided_Two-way,Y,Not dry,Daylight,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,16
Thursday,Older_Adult,Male,Middle,Employee,Expert,Automobile,Valid_Recent_Exp,No defect,Other,Crossing,Not dry,Daylight,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,16
Thursday,Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,Divided_Two-way,Y,Not dry,Daylight,Vehicles,3,1,Unknown,Pedestrian,3,Pedestrian,Driving_carelessly,Slight Injury,16
Sunday,Young_Adult,Male,Middle,Employee,Expert,Other,Unknown,Unknown,Divided_Two-way,Y,Not dry,Daylight,Vehicles,3,1,Backward,Pedestrian,3,Pedestrian,Driving_carelessly,Slight Injury,17
Sunday,Adult,Male,Elementary,Owner,Advanced,Other,Unknown,No defect,Divided_Two-way,Crossing,Not dry,Daylight,Vehicles,3,1,Unknown,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,17
Saturday,Unknown,Male,Elementary,Employee,Expert,Automobile,Advanced_Exp,No defect,One-way,Crossing,Dry,Daylight,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Serious Injury,11
Saturday,Older_Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Serious Injury,11
Saturday,Adult,Male,Unknown,Unknown,Unknown,Lorry,Moderate_Exp,Unknown,Undivided_Two-way,No_junction,Dry,Daylight,Inanimated_Objects,2,1,Unknown,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,11
Saturday,Adult,Male,Middle,Owner,Advanced,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,11
Saturday,Older_Adult,Male,Elementary,Employee,Intermediate,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Not dry,Daylight,Vehicles,2,3,Forward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,12
Saturday,Older_Adult,Male,Unknown,Unknown,Unknown,Lorry,Unknown,Unknown,Divided_Two-way,Crossing,Not dry,Daylight,Vehicles,2,3,Forward,Pedestrian,3,Pedestrian,Other,Slight Injury,12
Saturday,Young_Adult,Male,Unknown,Unknown,Unknown,Lorry,Valid_Recent_Exp,No defect,Undivided_Two-way,No_junction,Not dry,Daylight,Vehicles,2,3,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,12
Saturday,Young_Adult,Male,Middle,Owner,Beginner,Automobile,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Daylight,Animated_Objects,2,2,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,12
Friday,Adult,Male,Middle,Employee,Beginner,Automobile,Moderate_Exp,No defect,Undivided_Two-way,No_junction,Not dry,Daylight,Animated_Objects,2,2,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,7
Friday,Adult,Female,Middle,Employee,Beginner,Other,Unknown,Unknown,Undivided_Two-way,Other,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,7
Sunday,Young_Adult,Male,Middle,Employee,Expert,Automobile,Unknown,Unknown,Unknown,Other,Dry,Daylight,Vehicles,2,1,Other,Pedestrian,3,Pedestrian,Driving_carelessly,Slight Injury,19
Sunday,Adult,Male,Middle,Employee,Beginner,Automobile,Advanced_Exp,Unknown,Undivided_Two-way,Crossing,Not dry,Darkness,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,19
Sunday,Older_Adult,Male,Middle,Owner,Expert,Automobile,Unknown,No defect,Unknown,Crossing,Not dry,Darkness,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,20
Sunday,Older_Adult,Male,Middle,Employee,Expert,Automobile,Advanced_Exp,No defect,Divided_Two-way,Crossing,Not dry,Darkness,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,20
Sunday,Older_Adult,Male,Middle,Employee,Beginner,Public,Unknown,No defect,Divided_Two-way,No_junction,Not dry,Darkness,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,20
Sunday,Older_Adult,Male,Middle,Employee,Beginner,Lorry,Advanced_Exp,No defect,Other,No_junction,Dry,Darkness,Vehicles,2,3,Forward,Pedestrian,3,No_pedestrian,No_distance,Slight Injury,20
Sunday,Older_Adult,Male,Middle,Employee,Intermediate,Lorry,Unknown,No defect,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,2,3,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,20
Sunday,Adult,Male,Middle,Employee,Intermediate,Lorry,Moderate_Exp,Unknown,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,2,3,Backward,Unknown,0,No_pedestrian,No_distance,Slight Injury,20
Wednesday,Older_Adult,Male,Middle,Employee,Beginner,Automobile,Advanced_Exp,No defect,Divided_Two-way,Y,Dry,Darkness,Vehicles,2,3,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,13
Wednesday,Young_Adult,Male,Elementary,Employee,Advanced,Other,Valid_Recent_Exp,Unknown,Undivided_Two-way,Y,Not dry,Darkness,Inanimated_Objects,1,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,13
Wednesday,Unknown,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,One-way,Y,Dry,Daylight,Other,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Serious Injury,13
Wednesday,Unknown,Male,Middle,Employee,Beginner,Pick up,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Serious Injury,13
Sunday,Underage,Male,Elementary,Unknown,Advanced,Other,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Pedestrian,3,Pedestrian,Driving_carelessly,Slight Injury,13
Sunday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Advanced_Exp,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,13
Friday,Young_Adult,Male,Elementary,Employee,Advanced,Pick up,Unknown,Unknown,Undivided_Two-way,Crossing,Not dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,7
Friday,Young_Adult,Male,Middle,Employee,Expert,Other,Advanced_Exp,No defect,Divided_Two-way,Other,Not dry,Darkness,Vehicles,2,1,Forward,Pedestrian,3,Pedestrian,Other,Slight Injury,7
Thursday,Adult,Male,Middle,Employee,Expert,Automobile,Moderate_Exp,No defect,Divided_Two-way,Other,Dry,Darkness,Inanimated_Objects,1,1,Forward,Pedestrian,3,Pedestrian,Changing_lane,Slight Injury,15
Friday,Older_Adult,Male,Elementary,Owner,Intermediate,Lorry,Moderate_Exp,Unknown,Undivided_Two-way,No_junction,Dry,Darkness,Inanimated_Objects,1,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,20
Friday,Adult,Male,Elementary,Employee,Advanced,Automobile,Unknown,Unknown,Other,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,20
Friday,Adult,Male,Middle,Owner,Beginner,Automobile,Unknown,No defect,One-way,No_junction,Not dry,Darkness,Inanimated_Objects,2,2,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,20
Thursday,Older_Adult,Male,Elementary,Employee,Expert,Lorry,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Darkness,Vehicles,2,2,Other,Driver or rider,3,No_pedestrian,Other,Slight Injury,17
Thursday,Older_Adult,Male,Middle,Employee,Advanced,Automobile,Unknown,No defect,One-way,No_junction,Not dry,Darkness,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Thursday,Adult,Male,Middle,Employee,Intermediate,Public,Unknown,No defect,Undivided_Two-way,No_junction,Not dry,Darkness,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,17
Friday,Young_Adult,Male,Elementary,Employee,Expert,Lorry,Unknown,No defect,One-way,Unknown,Not dry,Darkness,Vehicles,2,2,Forward,Pedestrian,3,Pedestrian,Driving_carelessly,Slight Injury,14
Sunday,Adult,Male,Middle,Employee,Intermediate,Pick up,Unknown,No defect,Undivided_Two-way,Unknown,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,12
Sunday,Young_Adult,Male,Elementary,Employee,Expert,Lorry,Unknown,No defect,Divided_Two-way,Y,Dry,Darkness,Vehicles,2,1,Forward,Pedestrian,3,Pedestrian,Other,Slight Injury,12
Tuesday,Young_Adult,Male,Middle,Employee,Expert,Other,Unknown,No defect,Other,Y,Not dry,Daylight,Animated_Objects,1,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,7
Wednesday,Adult,Male,Middle,Employee,Intermediate,Automobile,Advanced_Exp,No defect,Other,Y,Dry,Daylight,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,16
Wednesday,Adult,Male,Middle,Employee,Expert,Lorry,Advanced_Exp,No defect,Divided_Two-way,Y,Not dry,Darkness,Inanimated_Objects,2,2,Other,Unknown,0,No_pedestrian,No_distance,Serious Injury,8
Wednesday,Young_Adult,Male,Middle,Employee,Expert,Lorry,Advanced_Exp,No defect,Other,No_junction,Not dry,Darkness,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Other,Serious Injury,8
Wednesday,Young_Adult,Male,Middle,Employee,Beginner,Lorry,Valid_Recent_Exp,Unknown,Divided_Two-way,No_junction,Not dry,Darkness,Inanimated_Objects,2,2,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,8
Tuesday,Young_Adult,Male,Middle,Owner,Expert,Automobile,Moderate_Exp,Unknown,Undivided_Two-way,Other,Not dry,Darkness,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Serious Injury,18
Friday,Adult,Male,Middle,Unknown,Expert,Automobile,Moderate_Exp,Unknown,Divided_Two-way,Other,Not dry,Darkness,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,No_distance,Serious Injury,12
Friday,Adult,Male,Middle,Employee,Advanced,Automobile,Moderate_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Animated_Objects,3,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,12
Wednesday,Young_Adult,Male,Elementary,Unknown,Unknown,Lorry,Valid_Recent_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,3,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,7
Wednesday,Adult,Male,Middle,Employee,Advanced,Lorry,Moderate_Exp,Unknown,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,3,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,7
Sunday,Unknown,Male,Middle,Employee,Advanced,Lorry,Unknown,Unknown,Divided_Two-way,Crossing,Not dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,6
Sunday,Young_Adult,Male,Middle,Owner,Beginner,Lorry,Unknown,Unknown,Undivided_Two-way,No_junction,Not dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,6
Saturday,Adult,Male,Middle,Employee,Advanced,Other,Unknown,Unknown,One-way,No_junction,Dry,Daylight,Animated_Objects,1,1,Backward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,15
Wednesday,Adult,Male,Elementary,Employee,Intermediate,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,18
Thursday,Young_Adult,Male,Middle,Owner,Intermediate,Lorry,Advanced_Exp,No defect,Divided_Two-way,No_junction,Not dry,Darkness,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,21
Thursday,Young_Adult,Male,Elementary,Employee,Intermediate,Public,Advanced_Exp,No defect,Divided_Two-way,No_junction,Not dry,Darkness,Vehicles,6,2,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,21
Thursday,Young_Adult,Male,Middle,Owner,Intermediate,Automobile,Unknown,No defect,One-way,No_junction,Not dry,Darkness,Vehicles,6,2,Forward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,21
Friday,Adult,Male,Middle,Employee,Expert,Automobile,Moderate_Exp,No defect,Divided_Two-way,Y,Not dry,Darkness,Inanimated_Objects,6,2,Backward,Passenger,3,No_pedestrian,Other,Slight Injury,16
Friday,Adult,Male,Middle,Employee,Intermediate,Pick up,Unknown,Unknown,Divided_Two-way,Y,Not dry,Darkness,Vehicles,6,2,Forward,Passenger,3,No_pedestrian,Other,Slight Injury,16
Friday,Adult,Male,Middle,Employee,Beginner,Unknown,Unknown,Unknown,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,6,1,Other,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,16
Friday,Unknown,Male,Middle,Employee,Intermediate,Automobile,Moderate_Exp,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,6,1,Other,Passenger,3,No_pedestrian,Other,Slight Injury,16
Friday,Unknown,Male,Middle,Employee,Beginner,Unknown,Unknown,Unknown,Divided_Two-way,Unknown,Dry,Daylight,Vehicles,6,1,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,16
